RegionNombre,Semana,Atenciones_Urg
Región Metropolitana de Santiago,2022-03-08,17355
Región Metropolitana de Santiago,2022-03-15,23412
Región Metropolitana de Santiago,2022-03-22,23799
Región Metropolitana de Santiago,2022-03-29,21626
Región Metropolitana de Santiago,2022-04-05,21872
Región Metropolitana de Santiago,2022-04-12,22262
Región Metropolitana de Santiago,2022-04-19,24965
Región Metropolitana de Santiago,2022-04-26,23968
Región Metropolitana de Santiago,2022-05-03,27352
Región Metropolitana de Santiago,2022-05-10,31944
Región Metropolitana de Santiago,2022-05-17,36166
Región Metropolitana de Santiago,2022-05-24,36533
Región Metropolitana de Santiago,2022-05-31,38054
Región Metropolitana de Santiago,2022-06-07,40737
Región Metropolitana de Santiago,2022-06-14,36120
Región Metropolitana de Santiago,2022-06-21,37963
Región Metropolitana de Santiago,2022-06-28,29610
Región Metropolitana de Santiago,2022-07-05,23985
Región Metropolitana de Santiago,2022-07-12,20707
Región Metropolitana de Santiago,2022-07-19,21949
Región Metropolitana de Santiago,2022-07-26,23247
Región Metropolitana de Santiago,2022-08-02,27644
Región Metropolitana de Santiago,2022-08-09,33200
Región Metropolitana de Santiago,2022-08-16,34624
Región Metropolitana de Santiago,2022-08-23,33700
Región Metropolitana de Santiago,2022-08-30,31347
Región Metropolitana de Santiago,2022-09-06,29584
Región Metropolitana de Santiago,2022-09-13,25169
Región Metropolitana de Santiago,2022-09-20,31591
Región Metropolitana de Santiago,2022-09-27,27695
Región Metropolitana de Santiago,2022-10-04,32558
Región Metropolitana de Santiago,2022-10-11,40227
Región Metropolitana de Santiago,2022-10-18,41737
Región Metropolitana de Santiago,2022-10-25,42474
Región Metropolitana de Santiago,2022-11-01,49356
Región Metropolitana de Santiago,2022-11-08,41691
Región Metropolitana de Santiago,2022-11-15,38593
Región Metropolitana de Santiago,2022-11-22,34329
Región Metropolitana de Santiago,2022-11-29,28969
Región Metropolitana de Santiago,2022-12-06,26621
Región Metropolitana de Santiago,2022-12-13,24610
Región Metropolitana de Santiago,2022-12-20,23015
Región Metropolitana de Santiago,2022-12-27,21740
Región Metropolitana de Santiago,2023-01-03,21223
Región Metropolitana de Santiago,2023-01-10,17305
Región Metropolitana de Santiago,2023-01-17,15477
Región Metropolitana de Santiago,2023-01-24,14689
Región Metropolitana de Santiago,2023-01-31,13719
Región Metropolitana de Santiago,2023-02-07,14635
Región Metropolitana de Santiago,2023-02-14,16236
Región Metropolitana de Santiago,2023-02-21,17653
Región Metropolitana de Santiago,2023-02-28,19904
Región Metropolitana de Santiago,2023-03-07,30487
Región Metropolitana de Santiago,2023-03-14,41551
Región Metropolitana de Santiago,2023-03-21,38431
Región Metropolitana de Santiago,2023-03-28,35269
Región Metropolitana de Santiago,2023-04-04,36369
Región Metropolitana de Santiago,2023-04-11,37941
Región Metropolitana de Santiago,2023-04-18,45415
Región Metropolitana de Santiago,2023-04-25,47671
Región Metropolitana de Santiago,2023-05-02,54772
Región Metropolitana de Santiago,2023-05-09,60036
Región Metropolitana de Santiago,2023-05-16,59904
Región Metropolitana de Santiago,2023-05-23,56123
Región Metropolitana de Santiago,2023-05-30,55322
Región Metropolitana de Santiago,2023-06-06,47064
Región Metropolitana de Santiago,2023-06-13,42486
Región Metropolitana de Santiago,2023-06-20,33629
Región Metropolitana de Santiago,2023-06-27,27253
Región Metropolitana de Santiago,2023-07-04,23886
Región Metropolitana de Santiago,2023-07-11,21642
Región Metropolitana de Santiago,2023-07-18,23785
Región Metropolitana de Santiago,2023-07-25,28760
Región Metropolitana de Santiago,2023-08-01,32646
Región Metropolitana de Santiago,2023-08-08,34439
Región Metropolitana de Santiago,2023-08-15,33823
Región Metropolitana de Santiago,2023-08-22,30151
Región Metropolitana de Santiago,2023-08-29,31811
Región Metropolitana de Santiago,2023-09-05,33036
